ensemble,leadtime,year,precipitation
10,2,2015,61.12337112426758
10,3,1981,72.5071132183075
10,3,1982,44.647712260484695
10,3,1983,51.64689943194389
10,3,1984,52.12676525115967
10,3,1985,43.52482408285141
10,3,1986,103.53123396635056
10,3,1987,66.76656007766724
10,3,1988,44.344592839479446
10,3,1989,65.41182100772858
10,3,1990,74.13647323846817
10,3,1991,60.067567974328995
10,3,1992,45.70513963699341
10,3,1993,56.75128102302551
10,3,1994,63.33883851766586
10,3,1995,63.950203359127045
10,3,1996,22.16506190598011
10,3,1997,53.98833751678467
10,3,1998,43.37374493479729
10,3,1999,58.13796818256378
10,3,2000,75.67454129457474
10,3,2001,69.41530108451843
10,3,2002,47.82800003886223
10,3,2003,52.918691188097
10,3,2004,43.738141655921936
10,3,2005,53.06756868958473
10,3,2006,90.34736454486847
10,3,2007,56.26991018652916
10,3,2008,61.00529059767723
10,3,2009,73.94197583198547
10,3,2010,50.74430629611015
10,3,2011,30.386818572878838
10,3,2012,43.933019042015076
10,3,2013,46.77501693367958
10,3,2014,53.702451288700104
10,3,2015,56.60947039723396
10,4,1981,93.49674731492996
10,4,1982,40.725111961364746
10,4,1983,56.065838783979416
10,4,1984,65.39025902748108
10,4,1985,50.90367794036865
10,4,1986,82.96336978673935
10,4,1987,31.127672642469406
10,4,1988,44.24387216567993
10,4,1989,46.325646340847015
10,4,1990,48.756495118141174
10,4,1991,52.81921848654747
10,4,1992,83.786241710186
10,4,1993,47.30233550071716
10,4,1994,75.9657770395279
10,4,1995,51.290977746248245
10,4,1996,54.21851575374603
10,4,1997,63.99174779653549
10,4,1998,40.29654711484909
10,4,1999,41.92313924431801
10,4,2000,64.18205797672272
10,4,2001,51.52183026075363
10,4,2002,49.99907687306404
10,4,2003,45.06543651223183
10,4,2004,69.5657804608345
10,4,2005,60.12760475277901
10,4,2006,62.211550772190094
10,4,2007,54.99013140797615
10,4,2008,38.67204487323761
10,4,2009,55.59355765581131
10,4,2010,49.3658073246479
10,4,2011,51.88867077231407
10,4,2012,35.02770885825157
10,4,2013,69.3417489528656
10,4,2014,45.21777853369713
10,4,2015,71.35900110006332
10,5,1981,71.70135527849197
10,5,1982,93.23054552078247
10,5,1983,75.47800987958908
10,5,1984,72.69024848937988
10,5,1985,63.71019780635834
10,5,1986,40.3791144490242
10,5,1987,51.02262273430824
10,5,1988,63.073888421058655
10,5,1989,32.79534354805946
10,5,1990,48.97068440914154
10,5,1991,58.98229777812958
10,5,1992,69.57118958234787
10,5,1993,39.0167310833931
10,5,1994,61.35289743542671
10,5,1995,61.56529486179352
10,5,1996,53.380679339170456
10,5,1997,59.48159471154213
10,5,1998,49.49868097901344
10,5,1999,77.99027115106583
10,5,2000,64.82178717851639
10,5,2001,57.03800544142723
10,5,2002,50.800442695617676
10,5,2003,82.89945870637894
10,5,2004,66.60936027765274
10,5,2005,59.714604169130325
10,5,2006,64.869225025177
10,5,2007,64.26139175891876
10,5,2008,48.54056239128113
10,5,2009,64.21108543872833
10,5,2010,75.25043189525604
10,5,2011,68.3043822646141
10,5,2012,57.571232318878174
10,5,2013,39.53419625759125
10,5,2014,51.188141107559204
10,5,2015,39.318885654211044
11,2,1981,84.14872735738754
11,2,1982,56.01769685745239
11,2,1983,43.485503643751144
11,2,1984,60.069818049669266
11,2,1985,33.83569419384003
11,2,1986,75.21408051252365
11,2,1987,55.469874292612076
11,2,1988,63.8907253742218
11,2,1989,55.92621490359306
11,2,1990,59.84656512737274
11,2,1991,55.66021800041199
11,2,1992,61.50440126657486
11,2,1993,73.46179336309433
11,2,1994,50.590112805366516
11,2,1995,51.324691623449326
11,2,1996,42.67651587724686
11,2,1997,51.86070501804352
11,2,1998,78.74637842178345
11,2,1999,63.39621543884277
11,2,2000,62.384311109781265
11,2,2001,41.47118702530861
11,2,2002,62.88392096757889
11,2,2003,59.52703207731247
11,2,2004,60.20117551088333
11,2,2005,86.6459310054779
11,2,2006,48.99320378899574
11,2,2007,47.130245715379715
11,2,2008,58.54754149913788
11,2,2009,86.67423576116562
11,2,2010,44.75005716085434
11,2,2011,53.9533831179142
11,2,2012,28.470583260059357
11,2,2013,78.11616361141205
11,2,2014,73.37376475334167
11,2,2015,51.49412900209427
11,3,1981,43.75153407454491
11,3,1982,88.44825625419617
11,3,1983,45.00505328178406
11,3,1984,49.00887981057167
11,3,1985,52.30129510164261
11,3,1986,54.834797978401184
11,3,1987,40.04865512251854
11,3,1988,75.37073642015457
11,3,1989,39.63953256607056
11,3,1990,87.81764656305313
11,3,1991,55.367499589920044
11,3,1992,73.76033067703247
11,3,1993,66.72529131174088
11,3,1994,25.949938222765923
11,3,1995,56.74508959054947
11,3,1996,39.91570696234703
11,3,1997,49.60222169756889
11,3,1998,25.607064366340637
11,3,1999,42.79525578022003
11,3,2000,63.17528337240219
11,3,2001,46.309489756822586
